Date,BTC/USDT,BTC Popularity
2018-04-04 10:54:00 AM,7069.99997,0
2018-04-04 10:55:00 AM,7069.99997,0
2018-04-04 10:56:00 AM,7069.99997,0
2018-04-04 10:57:00 AM,7069.99997,45
2018-04-04 10:58:00 AM,7069.99997,88
2018-04-04 10:59:00 AM,7069.99997,27
2018-04-04 11:00:00 AM,7069.99997,0
2018-04-04 11:01:00 AM,7069.99997,0
2018-04-04 11:02:00 AM,7069.99997,0
2018-04-04 11:03:00 AM,7069.99997,90
2018-04-04 11:04:00 AM,7069.99997,78
2018-04-04 11:05:00 AM,7069.99997,102
2018-04-04 11:06:00 AM,7069.99997,114
2018-04-04 11:07:00 AM,7069.99997,40
2018-04-04 11:08:00 AM,7069.99997,55
2018-04-04 11:09:00 AM,7069.99997,22
2018-04-04 11:10:00 AM,7069.99997,0
2018-04-04 11:11:00 AM,7069.99997,0
2018-04-04 11:12:00 AM,7069.99997,0
2018-04-04 11:13:00 AM,7069.99997,0
2018-04-04 11:14:00 AM,7060.23946,0
2018-04-04 11:15:00 AM,7060.38658,0
2018-04-04 11:16:00 AM,7054.38234,0
2018-04-04 11:17:00 AM,7044.86287,77
2018-04-04 11:18:00 AM,7029.30476,7
2018-04-04 11:19:00 AM,7027.72647,0
2018-04-04 11:20:00 AM,7025.95009,6
2018-04-04 11:21:00 AM,7025.95009,63
2018-04-04 11:22:00 AM,7025.95009,93
2018-04-04 11:23:00 AM,7025.95009,115
2018-04-04 11:24:00 AM,7025.95009,84
2018-04-04 11:25:00 AM,7025.95009,87
2018-04-04 11:26:00 AM,7025.95009,76
2018-04-04 11:27:00 AM,7025.95009,0
2018-04-04 11:28:00 AM,7025.95009,0
2018-04-04 11:29:00 AM,7025.95009,0
2018-04-04 11:30:00 AM,7025.95009,0
2018-04-04 11:31:00 AM,7025.95009,0
2018-04-04 11:32:00 AM,7037,0
2018-04-04 11:33:00 AM,7031.3363,0
2018-04-04 11:34:00 AM,7010.40595,0
2018-04-04 11:35:00 AM,7018.92732,0
2018-04-04 11:36:00 AM,7012.37243,0
2018-04-04 11:37:00 AM,7014.06288,0
2018-04-04 11:38:00 AM,7018.7897,0
2018-04-04 11:39:00 AM,7018.7897,0
2018-04-04 11:40:00 AM,7018.7897,0
2018-04-04 11:41:00 AM,7018.7897,0
2018-04-04 11:42:00 AM,7018.7897,0
2018-04-04 11:43:00 AM,7018.7897,0
2018-04-04 11:44:00 AM,7018.7897,0
2018-04-04 11:45:00 AM,7018.7897,0
2018-04-04 11:46:00 AM,7018.7897,0
2018-04-04 11:47:00 AM,7018.7897,0
2018-04-04 11:48:00 AM,7018.7897,0
2018-04-04 11:49:00 AM,7018.7897,0
2018-04-04 11:50:00 AM,7018.7897,0
